region,item,unit,value
Guatemala,PTMEAT,g/kg,109
Guatemala,BVMILK,g/kg,33
Guatemala,PTEGGS,g/kg,99
Guinea,BVMEAT,g/kg,147
Guinea,SGMEAT,g/kg,141
Guinea,PGMEAT,g/kg,116
Guinea,PTMEAT,g/kg,123
Guinea,BVMILK,g/kg,32
Guinea,PTEGGS,g/kg,103
GuineaBissau,BVMEAT,g/kg,153
GuineaBissau,SGMEAT,g/kg,142
GuineaBissau,PGMEAT,g/kg,116
GuineaBissau,PTMEAT,g/kg,122
GuineaBissau,BVMILK,g/kg,34
GuineaBissau,PTEGGS,g/kg,104
Guyana,BVMEAT,g/kg,145
Guyana,SGMEAT,g/kg,144
Guyana,PGMEAT,g/kg,96
Guyana,PTMEAT,g/kg,116
Guyana,BVMILK,g/kg,35
Guyana,PTEGGS,g/kg,98
Haiti,BVMEAT,g/kg,139
Haiti,SGMEAT,g/kg,182
Haiti,PGMEAT,g/kg,111
Haiti,PTMEAT,g/kg,109
Haiti,BVMILK,g/kg,34
Haiti,PTEGGS,g/kg,98
Honduras,BVMEAT,g/kg,161
Honduras,SGMEAT,g/kg,183
Honduras,PGMEAT,g/kg,107
Honduras,PTMEAT,g/kg,117
Honduras,BVMILK,g/kg,33
Honduras,PTEGGS,g/kg,99
Hungary,BVMEAT,g/kg,115
Hungary,SGMEAT,g/kg,123
Hungary,PGMEAT,g/kg,88
Hungary,PTMEAT,g/kg,146
Hungary,BVMILK,g/kg,33
Hungary,PTEGGS,g/kg,114
Iceland,BVMEAT,g/kg,146
Iceland,SGMEAT,g/kg,125
Iceland,PGMEAT,g/kg,96
Iceland,PTMEAT,g/kg,148
Iceland,BVMILK,g/kg,36
Iceland,PTEGGS,g/kg,113
India,BVMEAT,g/kg,134
India,SGMEAT,g/kg,145
India,PGMEAT,g/kg,109
India,PTMEAT,g/kg,121
India,BVMILK,g/kg,36
India,PTEGGS,g/kg,107
Indonesia,BVMEAT,g/kg,134
Indonesia,SGMEAT,g/kg,138
Indonesia,PGMEAT,g/kg,111
Indonesia,PTMEAT,g/kg,123
Indonesia,BVMILK,g/kg,35
Indonesia,PTEGGS,g/kg,115
Iran,BVMEAT,g/kg,150
Iran,SGMEAT,g/kg,141
Iran,PGMEAT,g/kg,96
Iran,PTMEAT,g/kg,130
Iran,BVMILK,g/kg,34
Iran,PTEGGS,g/kg,107
Iraq,BVMEAT,g/kg,146
Iraq,SGMEAT,g/kg,139
Iraq,PGMEAT,g/kg,96
Iraq,PTMEAT,g/kg,133
Iraq,BVMILK,g/kg,34
Iraq,PTEGGS,g/kg,108
Ireland,BVMEAT,g/kg,146
Ireland,SGMEAT,g/kg,125
Ireland,PGMEAT,g/kg,94
Ireland,PTMEAT,g/kg,149
Ireland,BVMILK,g/kg,30
Ireland,PTEGGS,g/kg,113
Israel,BVMEAT,g/kg,148
Israel,SGMEAT,g/kg,133
Israel,PGMEAT,g/kg,97
Israel,PTMEAT,g/kg,153
Israel,BVMILK,g/kg,32
Israel,PTEGGS,g/kg,115
Italy,BVMEAT,g/kg,149
Italy,SGMEAT,g/kg,125
Italy,PGMEAT,g/kg,96
Italy,PTMEAT,g/kg,152
Italy,BVMILK,g/kg,25
Italy,PTEGGS,g/kg,114
Jamaica,BVMEAT,g/kg,155
Jamaica,SGMEAT,g/kg,143
Jamaica,PGMEAT,g/kg,78
Jamaica,PTMEAT,g/kg,109
Jamaica,BVMILK,g/kg,34
Jamaica,PTEGGS,g/kg,105
Japan,BVMEAT,g/kg,144
Japan,SGMEAT,g/kg,122
Japan,PGMEAT,g/kg,98
Japan,PTMEAT,g/kg,126
Japan,BVMILK,g/kg,36
Japan,PTEGGS,g/kg,115
Jordan,BVMEAT,g/kg,144
Jordan,SGMEAT,g/kg,138
Jordan,PGMEAT,g/kg,96
Jordan,PTMEAT,g/kg,131
Jordan,BVMILK,g/kg,35
Jordan,PTEGGS,g/kg,107
Kazakhstan,BVMEAT,g/kg,148
Kazakhstan,SGMEAT,g/kg,135
Kazakhstan,PGMEAT,g/kg,110
Kazakhstan,PTMEAT,g/kg,123
Kazakhstan,BVMILK,g/kg,33
Kazakhstan,PTEGGS,g/kg,107
Kenya,BVMEAT,g/kg,148
Kenya,SGMEAT,g/kg,145
Kenya,PGMEAT,g/kg,90
Kenya,PTMEAT,g/kg,124
Kenya,BVMILK,g/kg,31
Kenya,PTEGGS,g/kg,105
KoreaDPRp,BVMEAT,g/kg,137
KoreaDPRp,SGMEAT,g/kg,151
KoreaDPRp,PGMEAT,g/kg,111
KoreaDPRp,PTMEAT,g/kg,117
KoreaDPRp,BVMILK,g/kg,31
KoreaDPRp,PTEGGS,g/kg,115
KoreaRep,BVMEAT,g/kg,133
KoreaRep,SGMEAT,g/kg,139
KoreaRep,PGMEAT,g/kg,101
KoreaRep,PTMEAT,g/kg,121
KoreaRep,BVMILK,g/kg,34
KoreaRep,PTEGGS,g/kg,115
Kuwait,BVMEAT,g/kg,128
Kuwait,SGMEAT,g/kg,135
Kuwait,PGMEAT,g/kg,96
Kuwait,PTMEAT,g/kg,124
Kuwait,BVMILK,g/kg,34
Kuwait,PTEGGS,g/kg,107
Kyrgyzstan,BVMEAT,g/kg,148
Kyrgyzstan,SGMEAT,g/kg,136
Kyrgyzstan,PGMEAT,g/kg,97
Kyrgyzstan,PTMEAT,g/kg,123
Kyrgyzstan,BVMILK,g/kg,34
Kyrgyzstan,PTEGGS,g/kg,107
Laos,BVMEAT,g/kg,126
Laos,SGMEAT,g/kg,154
Laos,PGMEAT,g/kg,111
Laos,PTMEAT,g/kg,116
Laos,BVMILK,g/kg,34
Laos,PTEGGS,g/kg,107
Latvia,BVMEAT,g/kg,145
Latvia,SGMEAT,g/kg,133
Latvia,PGMEAT,g/kg,102
Latvia,PTMEAT,g/kg,125
Latvia,BVMILK,g/kg,32
Latvia,PTEGGS,g/kg,107
Lebanon,BVMEAT,g/kg,145
Lebanon,SGMEAT,g/kg,141
Lebanon,PGMEAT,g/kg,96
Lebanon,PTMEAT,g/kg,131
Lebanon,BVMILK,g/kg,32
Lebanon,PTEGGS,g/kg,107
Lesotho,BVMEAT,g/kg,146
Lesotho,SGMEAT,g/kg,143
Lesotho,PGMEAT,g/kg,116
Lesotho,PTMEAT,g/kg,123
Lesotho,BVMILK,g/kg,31
Lesotho,PTEGGS,g/kg,102
Liberia,BVMEAT,g/kg,149
Liberia,SGMEAT,g/kg,137
Liberia,PGMEAT,g/kg,113
Liberia,PTMEAT,g/kg,123
Liberia,BVMILK,g/kg,36
Liberia,PTEGGS,g/kg,105
Libya,BVMEAT,g/kg,151
Libya,SGMEAT,g/kg,139
Libya,PGMEAT,g/kg,89
Libya,PTMEAT,g/kg,130
Libya,BVMILK,g/kg,37
Libya,PTEGGS,g/kg,107
Lithuania,BVMEAT,g/kg,146
Lithuania,SGMEAT,g/kg,135
Lithuania,PGMEAT,g/kg,107
Lithuania,PTMEAT,g/kg,125
Lithuania,BVMILK,g/kg,31
Lithuania,PTEGGS,g/kg,107
Luxembourg,BVMEAT,g/kg,139
Luxembourg,SGMEAT,g/kg,126
Luxembourg,PGMEAT,g/kg,100
Luxembourg,PTMEAT,g/kg,145
Luxembourg,BVMILK,g/kg,32
Luxembourg,PTEGGS,g/kg,114
Macedonia,BVMEAT,g/kg,142
Macedonia,SGMEAT,g/kg,135
Macedonia,PGMEAT,g/kg,101
Macedonia,PTMEAT,g/kg,125
Macedonia,BVMILK,g/kg,31
Macedonia,PTEGGS,g/kg,107
Madagascar,BVMEAT,g/kg,149
Madagascar,SGMEAT,g/kg,149
Madagascar,PGMEAT,g/kg,115
Madagascar,PTMEAT,g/kg,123
Madagascar,BVMILK,g/kg,31
Madagascar,PTEGGS,g/kg,106
Malawi,BVMEAT,g/kg,146
Malawi,SGMEAT,g/kg,153
Malawi,PGMEAT,g/kg,105
Malawi,PTMEAT,g/kg,124
Malawi,BVMILK,g/kg,31
Malawi,PTEGGS,g/kg,104
Malaysia,BVMEAT,g/kg,147
Malaysia,SGMEAT,g/kg,129
Malaysia,PGMEAT,g/kg,109
Malaysia,PTMEAT,g/kg,120
Malaysia,BVMILK,g/kg,28
Malaysia,PTEGGS,g/kg,115
Mali,BVMEAT,g/kg,152
Mali,SGMEAT,g/kg,146
Mali,PGMEAT,g/kg,120
Mali,PTMEAT,g/kg,123
Mali,BVMILK,g/kg,38
Mali,PTEGGS,g/kg,102
Malta,BVMEAT,g/kg,133
Malta,SGMEAT,g/kg,139
Malta,PGMEAT,g/kg,92
Malta,PTMEAT,g/kg,148
Malta,BVMILK,g/kg,34
Malta,PTEGGS,g/kg,114
Mauritania,BVMEAT,g/kg,143
Mauritania,SGMEAT,g/kg,144
Mauritania,PGMEAT,g/kg,116
Mauritania,PTMEAT,g/kg,113
Mauritania,BVMILK,g/kg,39
Mauritania,PTEGGS,g/kg,104
Mauritius,BVMEAT,g/kg,154
Mauritius,SGMEAT,g/kg,133
Mauritius,PGMEAT,g/kg,125
Mauritius,PTMEAT,g/kg,124
Mauritius,BVMILK,g/kg,34
Mauritius,PTEGGS,g/kg,104
Mexico,BVMEAT,g/kg,148
Mexico,SGMEAT,g/kg,151
Mexico,PGMEAT,g/kg,108
Mexico,PTMEAT,g/kg,105
Mexico,BVMILK,g/kg,32
Mexico,PTEGGS,g/kg,101
MoldovaRep,BVMEAT,g/kg,148
MoldovaRep,SGMEAT,g/kg,135
MoldovaRep,PGMEAT,g/kg,112
MoldovaRep,PTMEAT,g/kg,126
MoldovaRep,BVMILK,g/kg,33
MoldovaRep,PTEGGS,g/kg,107
Mongolia,BVMEAT,g/kg,139
Mongolia,SGMEAT,g/kg,126
Mongolia,PGMEAT,g/kg,115
Mongolia,PTMEAT,g/kg,146
Mongolia,BVMILK,g/kg,32
Mongolia,PTEGGS,g/kg,114
Morocco,BVMEAT,g/kg,145
Morocco,SGMEAT,g/kg,135
Morocco,PGMEAT,g/kg,183
Morocco,PTMEAT,g/kg,123
Morocco,BVMILK,g/kg,31
Morocco,PTEGGS,g/kg,104
Mozambique,BVMEAT,g/kg,146
Mozambique,SGMEAT,g/kg,143
Mozambique,PGMEAT,g/kg,109
Mozambique,PTMEAT,g/kg,122
Mozambique,BVMILK,g/kg,32
Mozambique,PTEGGS,g/kg,105
Myanmar,BVMEAT,g/kg,134
Myanmar,SGMEAT,g/kg,154
Myanmar,PGMEAT,g/kg,111
Myanmar,PTMEAT,g/kg,119
Myanmar,BVMILK,g/kg,43
Myanmar,PTEGGS,g/kg,108
Namibia,BVMEAT,g/kg,146
Namibia,SGMEAT,g/kg,142
Namibia,PGMEAT,g/kg,112
Namibia,PTMEAT,g/kg,128
Namibia,BVMILK,g/kg,28
Namibia,PTEGGS,g/kg,104
Nepal,BVMEAT,g/kg,120
Nepal,SGMEAT,g/kg,154
Nepal,PGMEAT,g/kg,109
Nepal,PTMEAT,g/kg,121
Nepal,BVMILK,g/kg,36
Nepal,PTEGGS,g/kg,108
Netherlands,BVMEAT,g/kg,148
Netherlands,SGMEAT,g/kg,127
Netherlands,PGMEAT,g/kg,107
Netherlands,PTMEAT,g/kg,147
Netherlands,BVMILK,g/kg,30
Netherlands,PTEGGS,g/kg,114
NewCaledonia,BVMEAT,g/kg,141
NewCaledonia,SGMEAT,g/kg,123
NewCaledonia,PGMEAT,g/kg,104
NewCaledonia,PTMEAT,g/kg,125
NewCaledonia,BVMILK,g/kg,34
NewCaledonia,PTEGGS,g/kg,115
NewZealand,BVMEAT,g/kg,126
NewZealand,SGMEAT,g/kg,122
NewZealand,PGMEAT,g/kg,81
NewZealand,PTMEAT,g/kg,126
NewZealand,BVMILK,g/kg,28
NewZealand,PTEGGS,g/kg,107
Nicaragua,BVMEAT,g/kg,149
Nicaragua,SGMEAT,g/kg,157
Nicaragua,PGMEAT,g/kg,97
Nicaragua,PTMEAT,g/kg,116
Nicaragua,BVMILK,g/kg,34
Nicaragua,PTEGGS,g/kg,99
Niger,BVMEAT,g/kg,148
Niger,SGMEAT,g/kg,141
Niger,PGMEAT,g/kg,110
Niger,PTMEAT,g/kg,123
Niger,BVMILK,g/kg,32
Niger,PTEGGS,g/kg,104
Nigeria,BVMEAT,g/kg,146
Nigeria,SGMEAT,g/kg,141
Nigeria,PGMEAT,g/kg,116
Nigeria,PTMEAT,g/kg,113
Nigeria,BVMILK,g/kg,35
Nigeria,PTEGGS,g/kg,104
Norway,BVMEAT,g/kg,131
Norway,SGMEAT,g/kg,126
Norway,PGMEAT,g/kg,97
Norway,PTMEAT,g/kg,148
Norway,BVMILK,g/kg,31
Norway,PTEGGS,g/kg,114
Oman,BVMEAT,g/kg,146
Oman,SGMEAT,g/kg,139
Oman,PGMEAT,g/kg,96
Oman,PTMEAT,g/kg,133
Oman,BVMILK,g/kg,34
Oman,PTEGGS,g/kg,108
Pakistan,BVMEAT,g/kg,126
Pakistan,SGMEAT,g/kg,151
Pakistan,PGMEAT,g/kg,111
Pakistan,PTMEAT,g/kg,123
Pakistan,BVMILK,g/kg,37
Pakistan,PTEGGS,g/kg,107
Palestin,BVMEAT,g/kg,146
Palestin,SGMEAT,g/kg,139
Palestin,PGMEAT,g/kg,96
Palestin,PTMEAT,g/kg,133
Palestin,BVMILK,g/kg,34
Palestin,PTEGGS,g/kg,108
Panama,BVMEAT,g/kg,141
Panama,SGMEAT,g/kg,157
Panama,PGMEAT,g/kg,96
Panama,PTMEAT,g/kg,110
Panama,BVMILK,g/kg,55
Panama,PTEGGS,g/kg,99
PapuaNGuin,BVMEAT,g/kg,144
PapuaNGuin,SGMEAT,g/kg,127
PapuaNGuin,PGMEAT,g/kg,107
PapuaNGuin,PTMEAT,g/kg,122
PapuaNGuin,BVMILK,g/kg,32
PapuaNGuin,PTEGGS,g/kg,112
Paraguay,BVMEAT,g/kg,139
Paraguay,SGMEAT,g/kg,140
Paraguay,PGMEAT,g/kg,125
Paraguay,PTMEAT,g/kg,108
Paraguay,BVMILK,g/kg,33
Paraguay,PTEGGS,g/kg,99
Peru,BVMEAT,g/kg,212
Peru,SGMEAT,g/kg,155
Peru,PGMEAT,g/kg,145
Peru,PTMEAT,g/kg,182
Peru,BVMILK,g/kg,32
Peru,PTEGGS,g/kg,99
Philippines,BVMEAT,g/kg,144
Philippines,SGMEAT,g/kg,155
Philippines,PGMEAT,g/kg,111
Philippines,PTMEAT,g/kg,122
Philippines,BVMILK,g/kg,34
Philippines,PTEGGS,g/kg,115
Poland,BVMEAT,g/kg,161
Poland,SGMEAT,g/kg,111
Poland,PGMEAT,g/kg,116
Poland,PTMEAT,g/kg,147
Poland,BVMILK,g/kg,28
Poland,PTEGGS,g/kg,114
Portugal,BVMEAT,g/kg,149
Portugal,SGMEAT,g/kg,126
Portugal,PGMEAT,g/kg,99
Portugal,PTMEAT,g/kg,150
Portugal,BVMILK,g/kg,31
Portugal,PTEGGS,g/kg,114
PuertoRico,BVMEAT,g/kg,124
PuertoRico,SGMEAT,g/kg,134
PuertoRico,PGMEAT,g/kg,98
PuertoRico,PTMEAT,g/kg,132
PuertoRico,BVMILK,g/kg,32
PuertoRico,PTEGGS,g/kg,107
Qatar,BVMEAT,g/kg,146
Qatar,SGMEAT,g/kg,139
Qatar,PGMEAT,g/kg,96
Qatar,PTMEAT,g/kg,133
Qatar,BVMILK,g/kg,34
Qatar,PTEGGS,g/kg,108
Reunion,BVMEAT,g/kg,149
Reunion,SGMEAT,g/kg,143
Reunion,PGMEAT,g/kg,110
Reunion,PTMEAT,g/kg,124
Reunion,BVMILK,g/kg,32
Reunion,PTEGGS,g/kg,104
Romania,BVMEAT,g/kg,158
Romania,SGMEAT,g/kg,127
Romania,PGMEAT,g/kg,109
Romania,PTMEAT,g/kg,148
Romania,BVMILK,g/kg,35
Romania,PTEGGS,g/kg,114
RussianFed,BVMEAT,g/kg,147
RussianFed,SGMEAT,g/kg,136
RussianFed,PGMEAT,g/kg,115
RussianFed,PTMEAT,g/kg,126
RussianFed,BVMILK,g/kg,35
RussianFed,PTEGGS,g/kg,107
Rwanda,BVMEAT,g/kg,146
Rwanda,SGMEAT,g/kg,137
Rwanda,PGMEAT,g/kg,117
Rwanda,PTMEAT,g/kg,124
Rwanda,BVMILK,g/kg,32
Rwanda,PTEGGS,g/kg,102
Samoa,BVMEAT,g/kg,138
Samoa,SGMEAT,g/kg,135
Samoa,PGMEAT,g/kg,111
Samoa,PTMEAT,g/kg,123
Samoa,BVMILK,g/kg,31
Samoa,PTEGGS,g/kg,113
SaudiArabia,BVMEAT,g/kg,142
SaudiArabia,SGMEAT,g/kg,139
SaudiArabia,PGMEAT,g/kg,96
SaudiArabia,PTMEAT,g/kg,129
SaudiArabia,BVMILK,g/kg,34
SaudiArabia,PTEGGS,g/kg,107
Senegal,BVMEAT,g/kg,146
Senegal,SGMEAT,g/kg,144
Senegal,PGMEAT,g/kg,116
Senegal,PTMEAT,g/kg,123
Senegal,BVMILK,g/kg,35
Senegal,PTEGGS,g/kg,104
Serbia-Monte,BVMEAT,g/kg,137
Serbia-Monte,SGMEAT,g/kg,135
Serbia-Monte,PGMEAT,g/kg,100
Serbia-Monte,PTMEAT,g/kg,127
Serbia-Monte,BVMILK,g/kg,33
Serbia-Monte,PTEGGS,g/kg,107
SierraLeone,BVMEAT,g/kg,153
SierraLeone,SGMEAT,g/kg,146
SierraLeone,PGMEAT,g/kg,116
SierraLeone,PTMEAT,g/kg,113
SierraLeone,BVMILK,g/kg,31
SierraLeone,PTEGGS,g/kg,104
Singapore,BVMEAT,g/kg,141
Singapore,SGMEAT,g/kg,155
Singapore,PGMEAT,g/kg,111
Singapore,PTMEAT,g/kg,123
Singapore,BVMILK,g/kg,34
Singapore,PTEGGS,g/kg,115
Slovakia,BVMEAT,g/kg,124
Slovakia,SGMEAT,g/kg,139
Slovakia,PGMEAT,g/kg,94
Slovakia,PTMEAT,g/kg,142
Slovakia,BVMILK,g/kg,30
Slovakia,PTEGGS,g/kg,107
Slovenia,BVMEAT,g/kg,137
Slovenia,SGMEAT,g/kg,133
Slovenia,PGMEAT,g/kg,101
Slovenia,PTMEAT,g/kg,128
Slovenia,BVMILK,g/kg,32
Slovenia,PTEGGS,g/kg,107
SolomonIs,BVMEAT,g/kg,139
SolomonIs,SGMEAT,g/kg,127
SolomonIs,PGMEAT,g/kg,110
SolomonIs,PTMEAT,g/kg,122
SolomonIs,BVMILK,g/kg,33
SolomonIs,PTEGGS,g/kg,116
Somalia,BVMEAT,g/kg,149
Somalia,SGMEAT,g/kg,144
Somalia,PGMEAT,g/kg,116
Somalia,PTMEAT,g/kg,121
Somalia,BVMILK,g/kg,36
Somalia,PTEGGS,g/kg,104
SouthAfrica,BVMEAT,g/kg,147
SouthAfrica,SGMEAT,g/kg,132
SouthAfrica,PGMEAT,g/kg,97
SouthAfrica,PTMEAT,g/kg,144
SouthAfrica,BVMILK,g/kg,31
SouthAfrica,PTEGGS,g/kg,114
Spain,BVMEAT,g/kg,144
Spain,SGMEAT,g/kg,127
Spain,PGMEAT,g/kg,97
Spain,PTMEAT,g/kg,148
Spain,BVMILK,g/kg,32
Spain,PTEGGS,g/kg,114
SriLanka,BVMEAT,g/kg,149
SriLanka,SGMEAT,g/kg,150
SriLanka,PGMEAT,g/kg,130
SriLanka,PTMEAT,g/kg,124
SriLanka,BVMILK,g/kg,33
SriLanka,PTEGGS,g/kg,113
Sudan,BVMEAT,g/kg,151
Sudan,SGMEAT,g/kg,146
Sudan,PGMEAT,g/kg,116
Sudan,PTMEAT,g/kg,130
Sudan,BVMILK,g/kg,37
Sudan,PTEGGS,g/kg,106
Suriname,BVMEAT,g/kg,134
Suriname,SGMEAT,g/kg,153
Suriname,PGMEAT,g/kg,102
Suriname,PTMEAT,g/kg,108
Suriname,BVMILK,g/kg,36
Suriname,PTEGGS,g/kg,99
Swaziland,BVMEAT,g/kg,152
Swaziland,SGMEAT,g/kg,140
Swaziland,PGMEAT,g/kg,101
Swaziland,PTMEAT,g/kg,124
Swaziland,BVMILK,g/kg,33
Swaziland,PTEGGS,g/kg,103
Sweden,BVMEAT,g/kg,143
Sweden,SGMEAT,g/kg,123
Sweden,PGMEAT,g/kg,118
Sweden,PTMEAT,g/kg,149
Sweden,BVMILK,g/kg,29
Sweden,PTEGGS,g/kg,115
Switzerland,BVMEAT,g/kg,126
Switzerland,SGMEAT,g/kg,128
Switzerland,PGMEAT,g/kg,96
Switzerland,PTMEAT,g/kg,148
Switzerland,BVMILK,g/kg,29
Switzerland,PTEGGS,g/kg,113
Syria,BVMEAT,g/kg,140
Syria,SGMEAT,g/kg,136
Syria,PGMEAT,g/kg,96
Syria,PTMEAT,g/kg,131
Syria,BVMILK,g/kg,36
Syria,PTEGGS,g/kg,107
Tajikistan,BVMEAT,g/kg,147
Tajikistan,SGMEAT,g/kg,135
Tajikistan,PGMEAT,g/kg,81
Tajikistan,PTMEAT,g/kg,124
Tajikistan,BVMILK,g/kg,34
Tajikistan,PTEGGS,g/kg,106
Tanzania,BVMEAT,g/kg,145
Tanzania,SGMEAT,g/kg,148
Tanzania,PGMEAT,g/kg,107
Tanzania,PTMEAT,g/kg,122
Tanzania,BVMILK,g/kg,31
Tanzania,PTEGGS,g/kg,105
Thailand,BVMEAT,g/kg,142
Thailand,SGMEAT,g/kg,183
Thailand,PGMEAT,g/kg,111
Thailand,PTMEAT,g/kg,124
Thailand,BVMILK,g/kg,30
Thailand,PTEGGS,g/kg,115
TimorLeste,BVMEAT,g/kg,141
TimorLeste,SGMEAT,g/kg,155
TimorLeste,PGMEAT,g/kg,111
TimorLeste,PTMEAT,g/kg,123
TimorLeste,BVMILK,g/kg,34
TimorLeste,PTEGGS,g/kg,115
Togo,BVMEAT,g/kg,147
Togo,SGMEAT,g/kg,136
Togo,PGMEAT,g/kg,115
Togo,PTMEAT,g/kg,131
Togo,BVMILK,g/kg,31
Togo,PTEGGS,g/kg,105
TrinidadTob,BVMEAT,g/kg,163
TrinidadTob,SGMEAT,g/kg,157
TrinidadTob,PGMEAT,g/kg,102
TrinidadTob,PTMEAT,g/kg,110
TrinidadTob,BVMILK,g/kg,35
TrinidadTob,PTEGGS,g/kg,100
Tunisia,BVMEAT,g/kg,146
Tunisia,SGMEAT,g/kg,136
Tunisia,PGMEAT,g/kg,89
Tunisia,PTMEAT,g/kg,131
Tunisia,BVMILK,g/kg,32
Tunisia,PTEGGS,g/kg,104
Turkey,BVMEAT,g/kg,167
Turkey,SGMEAT,g/kg,124
Turkey,PGMEAT,g/kg,98
Turkey,PTMEAT,g/kg,124
Turkey,BVMILK,g/kg,34
Turkey,PTEGGS,g/kg,115
Turkmenistan,BVMEAT,g/kg,148
Turkmenistan,SGMEAT,g/kg,135
Turkmenistan,PGMEAT,g/kg,95
Turkmenistan,PTMEAT,g/kg,123
Turkmenistan,BVMILK,g/kg,33
Turkmenistan,PTEGGS,g/kg,107
Uganda,BVMEAT,g/kg,145
Uganda,SGMEAT,g/kg,151
Uganda,PGMEAT,g/kg,105
Uganda,PTMEAT,g/kg,123
Uganda,BVMILK,g/kg,31
Uganda,PTEGGS,g/kg,105
UK,BVMEAT,g/kg,132
UK,SGMEAT,g/kg,123
UK,PGMEAT,g/kg,98
UK,PTMEAT,g/kg,148
UK,BVMILK,g/kg,30
UK,PTEGGS,g/kg,113
Ukraine,BVMEAT,g/kg,147
Ukraine,SGMEAT,g/kg,138
Ukraine,PGMEAT,g/kg,110
Ukraine,PTMEAT,g/kg,123
Ukraine,BVMILK,g/kg,32
Ukraine,PTEGGS,g/kg,107
UntdArabEm,BVMEAT,g/kg,128
UntdArabEm,SGMEAT,g/kg,136
UntdArabEm,PGMEAT,g/kg,96
UntdArabEm,PTMEAT,g/kg,123
UntdArabEm,BVMILK,g/kg,35
UntdArabEm,PTEGGS,g/kg,107
Uruguay,BVMEAT,g/kg,128
Uruguay,SGMEAT,g/kg,132
Uruguay,PGMEAT,g/kg,107
Uruguay,PTMEAT,g/kg,109
Uruguay,BVMILK,g/kg,34
Uruguay,PTEGGS,g/kg,99
USA,BVMEAT,g/kg,124
USA,SGMEAT,g/kg,134
USA,PGMEAT,g/kg,98
USA,PTMEAT,g/kg,132
USA,BVMILK,g/kg,32
USA,PTEGGS,g/kg,107
Uzbekistan,BVMEAT,g/kg,147
Uzbekistan,SGMEAT,g/kg,135
Uzbekistan,PGMEAT,g/kg,108
Uzbekistan,PTMEAT,g/kg,122
Uzbekistan,BVMILK,g/kg,33
Uzbekistan,PTEGGS,g/kg,107
Vanuatu,BVMEAT,g/kg,138
Vanuatu,SGMEAT,g/kg,146
Vanuatu,PGMEAT,g/kg,110
Vanuatu,PTMEAT,g/kg,123
Vanuatu,BVMILK,g/kg,32
Vanuatu,PTEGGS,g/kg,114
Venezuela,BVMEAT,g/kg,117
Venezuela,SGMEAT,g/kg,116
Venezuela,PGMEAT,g/kg,84
Venezuela,PTMEAT,g/kg,130
Venezuela,BVMILK,g/kg,27
Venezuela,PTEGGS,g/kg,99
VietNam,BVMEAT,g/kg,126
VietNam,SGMEAT,g/kg,183
VietNam,PGMEAT,g/kg,110
VietNam,PTMEAT,g/kg,115
VietNam,BVMILK,g/kg,35
VietNam,PTEGGS,g/kg,115
WestSahara,BVMEAT,g/kg,140
WestSahara,SGMEAT,g/kg,136
WestSahara,PGMEAT,g/kg,89
WestSahara,PTMEAT,g/kg,124
WestSahara,BVMILK,g/kg,33
WestSahara,PTEGGS,g/kg,105
Yemen,BVMEAT,g/kg,140
Yemen,SGMEAT,g/kg,147
Yemen,PGMEAT,g/kg,96
Yemen,PTMEAT,g/kg,130
Yemen,BVMILK,g/kg,34
Yemen,PTEGGS,g/kg,107
Zambia,BVMEAT,g/kg,146
Zambia,SGMEAT,g/kg,139
Zambia,PGMEAT,g/kg,115
Zambia,PTMEAT,g/kg,123
Zambia,BVMILK,g/kg,31
Zambia,PTEGGS,g/kg,104
Zimbabwe,BVMEAT,g/kg,146
Zimbabwe,SGMEAT,g/kg,138
Zimbabwe,PGMEAT,g/kg,114
Zimbabwe,PTMEAT,g/kg,125
Zimbabwe,BVMILK,g/kg,30
Zimbabwe,PTEGGS,g/kg,104
ArgentinaReg,SGMILK,g/kg,29
AustraliaReg,SGMILK,g/kg,31
BrazilReg,SGMILK,g/kg,32
CanadaReg,SGMILK,g/kg,26
ChinaReg,SGMILK,g/kg,38
CongoBasin,SGMILK,g/kg,33
EU_Baltic,SGMILK,g/kg,32
EU_CentralEast,SGMILK,g/kg,32
EU_MidWest,SGMILK,g/kg,32
EU_North,SGMILK,g/kg,30
EU_South,SGMILK,g/kg,28
Former_USSR,SGMILK,g/kg,33
IndiaReg,SGMILK,g/kg,36
IndonesiaReg,SGMILK,g/kg,35
JapanReg,SGMILK,g/kg,36
MalaysiaReg,SGMILK,g/kg,28
MexicoReg,SGMILK,g/kg,32
MiddleEast,SGMILK,g/kg,34
NewZealandReg,SGMILK,g/kg,28
NorthernAf,SGMILK,g/kg,33
Pacific_Islands,SGMILK,g/kg,32
RCAM,SGMILK,g/kg,34
RCEU,SGMILK,g/kg,33
ROWE,SGMILK,g/kg,30
RSAM,SGMILK,g/kg,33
RSAS,SGMILK,g/kg,37
RSEA_OPA,SGMILK,g/kg,34
RSEA_PAC,SGMILK,g/kg,34
RussiaReg,SGMILK,g/kg,35
SouthAfrReg,SGMILK,g/kg,31
SouthKorea,SGMILK,g/kg,34
EasternAf,SGMILK,g/kg,32
SouthernAf,SGMILK,g/kg,32
WesternAf,SGMILK,g/kg,36
TurkeyReg,SGMILK,g/kg,34
UkraineReg,SGMILK,g/kg,32
USAReg,SGMILK,g/kg,32
CentralEastEurope,SGMILK,g/kg,32
FormerSovietUnion,SGMILK,g/kg,34
LatinAmericaCarib,SGMILK,g/kg,32
