COUNTRY,region
Afghanistan,RSAS
Albania,RCEU
Algeria,NorthernAf
Angola,SouthernAf
Argentina,ArgentinaReg
Armenia,Former_USSR
Australia,AustraliaReg
Austria,EU_MidWest
Azerbaijan,Former_USSR
Bahamas,RCAM
Bahrain,MiddleEast
Bangladesh,RSAS
Belarus,Former_USSR
Belgium,EU_MidWest
Belize,RCAM
Benin,WesternAf
Bhutan,RSAS
Bolivia,RSAM
BosniaHerzg,RCEU
Botswana,SouthernAf
Brazil,BrazilReg
BruneiDarsm,RSEA_OPA
Bulgaria,EU_CentralEast
BurkinaFaso,WesternAf
Burundi,EasternAf
Cambodia,RSEA_PAC
Cameroon,CongoBasin
Canada,CanadaReg
CapeVerde,WesternAf
CentAfrRep,CongoBasin
Chad,WesternAf
Chile,RSAM
China,ChinaReg
Colombia,RSAM
Comoros,SouthernAf
CongoDemR,CongoBasin
CongoRep,CongoBasin
CostaRica,RCAM
CotedIvoire,WesternAf
Croatia,EU_CentralEast
Cuba,RCAM
Cyprus,EU_South
CzechRep,EU_CentralEast
Denmark,EU_North
Djibouti,WesternAf
DominicanRp,RCAM
Ecuador,RSAM
Egypt,NorthernAf
ElSalvador,RCAM
EqGuinea,CongoBasin
Eritrea,WesternAf
Estonia,EU_Baltic
Ethiopia,EasternAf
FalklandIs,RSAM
FijiIslands,Pacific_Islands
Finland,EU_North
France,EU_MidWest
FrGuiana,RSAM
FrPolynesia,Pacific_Islands
Gabon,CongoBasin
Gambia,WesternAf
Georgia,Former_USSR
Germany,EU_MidWest
Ghana,WesternAf
Greece,EU_South
Greenland,ROWE
Guadeloupe,RCAM
Guatemala,RCAM
Guinea,WesternAf
GuineaBissau,WesternAf
Guyana,RSAM
Haiti,RCAM
Honduras,RCAM
Hungary,EU_CentralEast
Iceland,ROWE
India,IndiaReg
Indonesia,IndonesiaReg
Iran,MiddleEast
Iraq,MiddleEast
Ireland,EU_North
Israel,MiddleEast
Italy,EU_South
Jamaica,RCAM
Japan,JapanReg
Jordan,MiddleEast
Kazakhstan,Former_USSR
Kenya,EasternAf
KoreaDPRp,RSEA_PAC
KoreaRep,SouthKorea
Kuwait,MiddleEast
Kyrgyzstan,Former_USSR
Laos,RSEA_PAC
Latvia,EU_Baltic
Lebanon,MiddleEast
Lesotho,SouthernAf
Liberia,WesternAf
Libya,NorthernAf
Lithuania,EU_Baltic
Luxembourg,EU_MidWest
Macedonia,RCEU
Madagascar,SouthernAf
Malawi,SouthernAf
Malaysia,MalaysiaReg
Mali,WesternAf
Malta,EU_South
Mauritania,WesternAf
Mauritius,SouthernAf
Mexico,MexicoReg
MoldovaRep,Former_USSR
Mongolia,RSEA_PAC
Morocco,NorthernAf
Mozambique,SouthernAf
Myanmar,RSEA_OPA
Namibia,SouthernAf
Nepal,RSAS
Netherlands,EU_MidWest
NewCaledonia,Pacific_Islands
NewZealand,NewZealandReg
Nicaragua,RCAM
Niger,WesternAf
Nigeria,WesternAf
Norway,ROWE
Oman,MiddleEast
Pakistan,RSAS
Palestin,MiddleEast
Panama,RCAM
PapuaNGuin,Pacific_Islands
Paraguay,RSAM
Peru,RSAM
Philippines,RSEA_OPA
Poland,EU_CentralEast
Portugal,EU_South
PuertoRico,USAReg
Qatar,MiddleEast
Reunion,SouthernAf
Romania,EU_CentralEast
RussianFed,RussiaReg
Rwanda,EasternAf
Samoa,Pacific_Islands
SaudiArabia,MiddleEast
Senegal,WesternAf
Serbia-Monte,RCEU
SierraLeone,WesternAf
Singapore,RSEA_OPA
Slovakia,EU_CentralEast
Slovenia,EU_CentralEast
SolomonIs,Pacific_Islands
Somalia,WesternAf
SouthAfrica,SouthAfrReg
Spain,EU_South
SriLanka,RSAS
Sudan,WesternAf
Suriname,RSAM
Swaziland,SouthernAf
Sweden,EU_North
Switzerland,ROWE
Syria,MiddleEast
Tajikistan,Former_USSR
Tanzania,EasternAf
Thailand,RSEA_OPA
TimorLeste,RSEA_OPA
Togo,WesternAf
TrinidadTob,RCAM
Tunisia,NorthernAf
Turkey,TurkeyReg
Turkmenistan,Former_USSR
Uganda,EasternAf
UK,EU_North
Ukraine,UkraineReg
UntdArabEm,MiddleEast
Uruguay,RSAM
USA,USAReg
Uzbekistan,Former_USSR
Vanuatu,Pacific_Islands
Venezuela,RSAM
VietNam,RSEA_PAC
WestSahara,NorthernAf
Yemen,MiddleEast
Zambia,SouthernAf
Zimbabwe,SouthernAf
